timestamp,emotion,score
10-06-2026 10:42,neutral,99.98
10-06-2026 10:42,neutral,51.99
10-06-2026 10:42,neutral,99
10-06-2026 10:42,neutral,70.64
10-06-2026 10:42,neutral,90.22
10-06-2026 10:42,neutral,73.11
10-06-2026 10:42,neutral,95.46
10-06-2026 10:42,neutral,94.69
10-06-2026 10:42,neutral,59.61
10-06-2026 10:42,neutral,92.02
10-06-2026 10:42,fear,74.7
10-06-2026 10:42,neutral,99.57
10-06-2026 10:42,fear,64.23
10-06-2026 10:42,neutral,62.97
10-06-2026 10:42,neutral,38.24
10-06-2026 10:42,neutral,81.03
10-06-2026 10:42,fear,78.8
10-06-2026 10:42,neutral,63.33
10-06-2026 10:42,neutral,56.77
10-06-2026 10:42,neutral,71.02
10-06-2026 10:42,neutral,95.57
10-06-2026 10:42,fear,66.15
10-06-2026 10:42,neutral,89.41
10-06-2026 10:42,neutral,92.02
10-06-2026 10:42,neutral,97.8
10-06-2026 10:42,neutral,98.9
10-06-2026 10:42,neutral,67.43
10-06-2026 10:42,neutral,97.48
10-06-2026 10:42,neutral,95.62
10-06-2026 10:42,neutral,98.9
10-06-2026 10:42,neutral,67.73
10-06-2026 10:42,neutral,71.58
10-06-2026 10:42,neutral,69.91
10-06-2026 10:42,neutral,99.03
10-06-2026 10:42,neutral,98.56
10-06-2026 10:42,neutral,86.18
10-06-2026 10:42,neutral,93.5
10-06-2026 10:42,sad,51.13
10-06-2026 10:42,neutral,94.36
10-06-2026 10:42,sad,66.3
10-06-2026 10:42,sad,81.33
10-06-2026 10:42,sad,68.24
10-06-2026 10:42,neutral,52.57
10-06-2026 10:42,sad,77.64
10-06-2026 10:42,neutral,53.2
10-06-2026 10:42,neutral,89.23
10-06-2026 10:42,neutral,98.83
10-06-2026 10:42,neutral,99.78
10-06-2026 10:42,neutral,85.72
10-06-2026 10:42,fear,91.06
10-06-2026 10:42,neutral,99.77
10-06-2026 10:42,neutral,99.25
10-06-2026 10:42,neutral,99.75
10-06-2026 10:42,neutral,99.88
10-06-2026 10:42,neutral,99.55
10-06-2026 10:42,neutral,99.41
10-06-2026 10:42,neutral,99.59
10-06-2026 10:42,neutral,98.58
10-06-2026 10:42,neutral,99.57
10-06-2026 10:42,neutral,99.35
10-06-2026 10:42,neutral,98.89
10-06-2026 10:42,neutral,97.12
10-06-2026 10:42,neutral,95.48
10-06-2026 10:42,fear,50.49
10-06-2026 10:42,fear,92.68
10-06-2026 10:42,neutral,95.48
10-06-2026 10:42,neutral,97.87
10-06-2026 10:42,neutral,97.53
10-06-2026 10:42,happy,46.75
10-06-2026 10:42,neutral,99.94
10-06-2026 10:42,neutral,99.96
10-06-2026 10:42,neutral,99.98
10-06-2026 10:42,neutral,99.99
10-06-2026 10:42,neutral,99.99
10-06-2026 10:42,neutral,99.96
10-06-2026 10:42,neutral,99.98
10-06-2026 10:42,neutral,99.99
10-06-2026 10:42,neutral,99.99
10-06-2026 10:42,neutral,99.99
10-06-2026 10:42,neutral,99.99
10-06-2026 10:42,neutral,99.99
10-06-2026 10:42,neutral,98.85
10-06-2026 10:42,neutral,98.85
10-06-2026 10:42,neutral,94.47
10-06-2026 10:42,neutral,90.98
10-06-2026 10:42,neutral,61.66
10-06-2026 10:42,neutral,92.23
10-06-2026 10:42,neutral,92.23
10-06-2026 10:42,neutral,88.97
10-06-2026 10:42,neutral,93.19
10-06-2026 10:42,neutral,88.45
10-06-2026 10:42,neutral,88.45
10-06-2026 10:42,neutral,95.88
10-06-2026 10:42,neutral,94.58
10-06-2026 10:42,neutral,91.05
10-06-2026 10:42,neutral,91.05
10-06-2026 10:42,neutral,66.23
10-06-2026 10:42,fear,54.82
10-06-2026 10:42,neutral,95.91
10-06-2026 10:42,neutral,95.91
10-06-2026 10:42,neutral,82.82
10-06-2026 10:42,neutral,96.88
10-06-2026 10:42,neutral,98.01
10-06-2026 10:42,neutral,98.01
10-06-2026 10:42,neutral,97.94
10-06-2026 10:42,neutral,90.37
10-06-2026 10:42,neutral,95.83
10-06-2026 10:42,neutral,88.68
10-06-2026 10:42,neutral,57.01
10-06-2026 10:42,neutral,98.88
10-06-2026 10:42,neutral,98.25
10-06-2026 10:42,neutral,98.25
10-06-2026 10:42,neutral,96.73
10-06-2026 10:42,neutral,96.73
10-06-2026 10:42,neutral,99.21
10-06-2026 10:42,neutral,99.21
10-06-2026 10:42,neutral,88.02
10-06-2026 10:42,neutral,97.94
10-06-2026 10:42,neutral,90.59
10-06-2026 10:42,neutral,92.27
10-06-2026 10:42,neutral,81.04
10-06-2026 10:42,neutral,85.76
10-06-2026 10:42,neutral,77.26
10-06-2026 10:42,neutral,51.79
10-06-2026 10:42,fear,46.01
10-06-2026 10:42,neutral,43.83
10-06-2026 10:42,fear,40.85
10-06-2026 10:42,fear,44.28
10-06-2026 10:42,neutral,44.8
10-06-2026 10:42,fear,47.76
10-06-2026 10:42,fear,44.13
10-06-2026 10:42,fear,44.13
10-06-2026 10:42,neutral,62.25
10-06-2026 10:42,neutral,54.82
10-06-2026 10:42,neutral,63.2
10-06-2026 10:42,neutral,52.05
10-06-2026 10:42,fear,67.93
10-06-2026 10:42,fear,67.93
10-06-2026 10:42,fear,68.12
10-06-2026 10:42,fear,68.12
10-06-2026 10:42,neutral,48.77
10-06-2026 10:42,neutral,51.71
10-06-2026 10:42,neutral,49.89
10-06-2026 10:42,neutral,50.19
10-06-2026 10:42,neutral,50.19
10-06-2026 10:42,neutral,48.41
10-06-2026 10:42,neutral,55.06
10-06-2026 10:42,neutral,56.57
10-06-2026 10:42,neutral,56.57
10-06-2026 10:42,fear,46.33
10-06-2026 10:42,fear,53.68
10-06-2026 10:42,neutral,72.15
10-06-2026 10:42,neutral,72.15
10-06-2026 10:42,neutral,64.13
10-06-2026 10:42,neutral,66.98
10-06-2026 10:42,neutral,73.98
10-06-2026 10:42,neutral,73.98
10-06-2026 10:42,neutral,88.61
10-06-2026 10:42,neutral,83.25
10-06-2026 10:42,neutral,98.53
10-06-2026 10:42,neutral,99.75
10-06-2026 10:42,neutral,99.75
10-06-2026 10:42,neutral,97.74
